"","Country","TempRange","TempRange.Uncertainty"
"1","Kazakhstan",49.163,1.709
"2","Mongolia",48.01,2.804
"3","Russia",46.682,1.446
"4","Canada",43.532,2.222
"5","Uzbekistan",42.698,1.708
"6","Turkmenistan",40.579,1.882
"7","Belarus",39.338,1.192
"8","Finland",39.068,0.941
"9","Estonia",38.815,1.071
"10","Ukraine",38.66,0.96
"11","Kyrgyzstan",38.436,3.936
"12","North Korea",38.342,1.573
"13","Latvia",38.063,0.969
"14","Moldova",38.012,1.413
"15","Greenland",37.516,8.425
"16","Denmark",37.138,8.243
"17","Lithuania",36.97,1.093
"18","Tajikistan",35.829,1.988
"19","Poland",35.616,2.14
"20","Armenia",35.273,3.063
"21","Romania",34.912,1.473
"22","Hungary",34.753,1.63
"23","South Korea",34.3,1.222
"24","Slovakia",33.833,2.178
"25","Sweden",33.732,1.022
"26","Czech Republic",33.708,1.358
"27","Iraq",33.563,2.105
"28","Afghanistan",33.086,1.888
"29","Asia",32.957,0.685
"30","Serbia",32.877,1.601
"31","Azerbaijan",32.665,2.572
"32","China",32.255,1.117
"33","North America",32.063,1.308
"34","Bulgaria",31.966,2.247
"35","Iran",31.666,1.354
"36","Germany",31.641,0.804
"37","Georgia",31.383,2.037
"38","Croatia",31.314,1.79
"39","Slovenia",31.179,2.005
"40","Austria",31.158,1.184
"41","Kuwait",30.771,3.354
"42","Montenegro",30.756,1.726
"43","Macedonia",30.71,2.174
"44","Bosnia And Herzegovina",30.567,2.031
"45","Liechtenstein",30.444,1.615
"46","Syria",30.378,1.564
"47","Luxembourg",30.317,0.917
"48","Turkey",30.22,1.614
"49","Switzerland",29.895,1.03
"50","United States",29.745,1.21
"51","Saint Pierre And Miquelon",29.433,2.099
"52","Belgium",28.916,1.122
"53","Japan",28.901,0.765
"54","Svalbard And Jan Mayen",28.676,6.15
"55","Europe",28.131,0.789
"56","Monaco",28.12,1.305
"57","Denmark (Europe)",27.997,0.854
"58","Netherlands (Europe)",27.889,0.799
"59","San Marino",27.537,1.264
"60","Albania",27.523,1.966
"61","Netherlands",27.354,0.79
"62","Norway",27.334,1.227
"63","France (Europe)",26.64,1.049
"64","Italy",26.263,1.037
"65","Algeria",26.238,1.91
"66","Greece",25.853,1.495
"67","Jordan",25.415,1.386
"68","Bahrain",25.311,2.605
"69","Pakistan",25.274,1.336
"70","Tunisia",25.111,1.806
"71","Andorra",24.674,1.282
"72","Saudi Arabia",23.736,1.943
"73","Qatar",23.715,2.258
"74","Lebanon",23.548,1.516
"75","Libya",23.476,1.891
"76","Spain",23.06,1.06
"77","Gaza Strip",22.47,1.48
"78","France",22.06,1.052
"79","United Arab Emirates",22.014,2.079
"80","Cyprus",21.728,1.189
"81","Israel",21.71,1.369
"82","Egypt",21.64,2.148
"83","Morocco",21.437,1.599
"84","Iceland",20.832,2.693
"85","Nepal",20.122,1.464
"86","United Kingdom (Europe)",19.362,0.805
"87","Portugal",19.134,1.868
"88","Guernsey",19.008,1.266
"89","Jersey",19.008,1.266
"90","Macau",18.982,2.816
"91","Malta",18.766,2.403
"92","Niger",18.758,3.431
"93","Argentina",18.494,0.909
"94","Hong Kong",18.01,2.55
"95","United Kingdom",17.831,0.811
"96","Isle Of Man",17.798,0.906
"97","Uruguay",17.631,1.83
"98","Oman",17.533,3.05
"99","Mauritania",17.43,2.765
"100","Ireland",17.362,0.938
"101","Bhutan",17.347,1.325
"102","Australia",17.29,0.755
"103","Lesotho",16.718,2.271
"104","Botswana",16.286,2.965
"105","Mali",16.207,2.66
"106","Taiwan",16.169,1.1
"107","Oceania",16.143,0.75
"108","Western Sahara",15.845,2.874
"109","South Africa",15.815,1.749
"110","India",15.7,0.709
"111","Paraguay",15.485,1.799
"112","Chad",15.316,3.556
"113","New Zealand",13.91,1.592
"114","Yemen",13.809,3.205
"115","Namibia",13.598,4.232
"116","Swaziland",13.415,2.665
"117","Bangladesh",13.337,0.932
"118","Mexico",13.318,1.536
"119","Sudan",13.09,2.732
"120","Faroe Islands",12.68,1.874
"121","Zimbabwe",12.522,4.372
"122","South Georgia And The South Sandwich Isla",12.398,7.805
"123","Laos",12.385,2.409
"124","Djibouti",12.152,3.686
"125","Chile",12.104,1.033
"126","Vietnam",11.901,1.835
"127","Burma",11.245,1.325
"128","Bahamas",10.799,1.871
"129","Zambia",10.759,2.877
"130","Burkina Faso",10.739,3.604
"131","Falkland Islands (Islas Malvinas)",10.68,2.495
"132","Senegal",10.452,2.189
"133","Malawi",10.336,2.503
"134","Thailand",10.171,3.045
"135","Eritrea",10.146,5.315
"136","French Southern And Antarctic Lands",9.983,5.813
"137","Mozambique",9.884,2.401
"138","Nigeria",9.538,3.05
"139","Gambia",9.171,2.034
"140","New Caledonia",8.938,3.095
"141","Bolivia",8.631,2.573
"142","Cambodia",8.534,2.805
"143","Madagascar",8.476,2.581
"144","Cuba",8.356,1.238
"145","Belize",8.316,3.432
"146","Cape Verde",8.314,3.057
"147","Mauritius",8.299,2.644
"148","Cayman Islands",8.067,1.804
"149","Turks And Caicas Islands",8.059,1.64
"150","Tonga",7.966,2.604
"151","Heard Island And Mcdonald Islands",7.946,4.96
"152","Angola",7.943,2.141
"153","Reunion",7.809,2.353
"154","Benin",7.706,2.274
"155","Honduras",7.552,2.852
"156","Guatemala",7.481,2.926
"157","Palestina",7.423,1.64
"158","Africa",7.332,0.72
"159","Central African Republic",7.273,3.161
"160","Guinea Bissau",7.156,1.943
"161","Ghana",7.151,2.587
"162","Guinea",7.118,1.937
"163","Togo",7.062,2.507
